contract,openMarginRate,closeMarginRate,margin,isMainContract
sp2610,0.09,0.09,4469.4,0
sp2611,0.09,0.09,4465.8,0
sp2612,0.09,0.09,4487.4,0
sp2701,0.09,0.09,4678.2,0
sp2702,0.09,0.09,4764.6,0
sp2703,0.09,0.09,4703.4,0
ss2606,0.1,0.1,7362.5,0
ss2607,0.08,0.08,5916.0,1
ss2608,0.08,0.08,5958.0,0
ss2609,0.08,0.08,5954.0,0
ss2610,0.08,0.08,5944.0,0
ss2611,0.08,0.08,5948.0,0
ss2612,0.08,0.08,5994.0,0
ss2701,0.08,0.08,5980.0,0
ss2702,0.08,0.08,5988.0,0
ss2703,0.07,0.07,5250.0,0
wr2606,0.1,0.1,3560.0,0
wr2607,0.1,0.1,3360.0,1
wr2608,0.1,0.1,3363.0,0
wr2609,0.1,0.1,3465.0,0
wr2610,0.1,0.1,3408.0,0
wr2611,0.1,0.1,3387.0,0
wr2612,0.1,0.1,3405.0,0
wr2701,0.1,0.1,3411.0,0
wr2702,0.1,0.1,3403.0,0
wr2703,0.09,0.09,3077.1,0
zn2606,0.12,0.12,14844.0,1
zn2607,0.12,0.12,14883.0,0
zn2608,0.12,0.12,14919.0,0
zn2609,0.12,0.12,14937.0,0
zn2610,0.12,0.12,14955.0,0
zn2611,0.12,0.12,14949.0,0
zn2612,0.12,0.12,14925.0,0
zn2701,0.12,0.12,14940.0,0
zn2702,0.12,0.12,14931.0,0
zn2703,0.09,0.09,11209.5,0
AP10,0.09,0.09,6741.0,1
AP11,0.09,0.09,6671.7,0
AP12,0.09,0.09,6714.9,0
AP01,0.09,0.09,6739.2,0
AP03,0.09,0.09,6795.0,0
CF07,0.07,0.07,5531.8,0
CF09,0.07,0.07,5594.8,1
CF11,0.07,0.07,5677.0,0
CF01,0.07,0.07,5748.8,0
CF03,0.07,0.07,5691.0,0
CJ07,0.08,0.08,3490.0,0
CJ09,0.08,0.08,3564.0,1
CJ12,0.08,0.08,3822.0,0
CJ01,0.08,0.08,3840.0,0
CJ03,0.08,0.08,3870.0,0
CY06,0.1,0.1,11082.5,0
CY07,0.05,0.05,5506.2,1
CY08,0.05,0.05,5542.5,0
CY09,0.05,0.05,5516.2,0
CY10,0.05,0.05,5748.8,0
CY11,0.05,0.05,5665.0,0
CY12,0.05,0.05,5717.5,0
FG06,0.1,0.1,1908.0,0
FG07,0.1,0.1,1900.0,0
FG08,0.1,0.1,2066.0,0
FG09,0.1,0.1,2056.0,1
FG10,0.1,0.1,2156.0,0
FG11,0.1,0.1,2140.0,0
FG12,0.1,0.1,2256.0,0
FG01,0.1,0.1,2242.0,0
FG02,0.1,0.1,2314.0,0
FG03,0.1,0.1,2302.0,0
MA06,0.13,0.13,3989.7,0
MA07,0.13,0.13,3948.1,0
MA08,0.13,0.13,3901.3,0
MA09,0.13,0.13,3851.9,1
MA10,0.07,0.07,2029.3,0
MA11,0.07,0.07,2004.1,0
MA12,0.07,0.07,2002.0,0
MA01,0.07,0.07,1994.3,0
MA02,0.07,0.07,1966.3,0
MA03,0.07,0.07,1936.9,0
OI07,0.07,0.07,6836.9,0
OI09,0.07,0.07,6808.2,1
OI11,0.07,0.07,6801.2,0
OI01,0.07,0.07,6808.2,0
OI03,0.07,0.07,6810.3,0
PF06,0.13,0.13,5187.0,0
PF07,0.13,0.13,5196.1,1
PF08,0.13,0.13,5170.1,0
PF09,0.13,0.13,5144.1,0
PF10,0.07,0.07,2779.0,0
PF11,0.07,0.07,2758.7,0
PF12,0.07,0.07,2751.0,0
PF01,0.07,0.07,2718.1,0
PF02,0.07,0.07,2701.3,0
PF03,0.07,0.07,2694.3,0
PK10,0.07,0.07,2851.1,1
PK11,0.07,0.07,2833.6,0
PK12,0.07,0.07,2843.4,0
PK01,0.07,0.07,2866.5,0
PK03,0.07,0.07,2868.6,0
PL06,0.13,0.13,22939.8,0
PL07,0.11,0.11,19100.4,1
PL08,0.11,0.11,18909.0,0
PL09,0.11,0.11,18585.6,0
PL10,0.07,0.07,11565.4,0
PL11,0.07,0.07,11345.6,0
PL12,0.07,0.07,11218.2,0
PL01,0.07,0.07,10840.2,0
PL02,0.07,0.07,10899.0,0
PR06,0.13,0.13,16797.3,0
PR07,0.13,0.13,16208.4,1
PR08,0.13,0.13,15787.2,0
PR09,0.13,0.13,15447.9,0
PR10,0.07,0.07,8232.0,0
PR11,0.07,0.07,8101.8,0
PR12,0.07,0.07,7862.4,0
PR01,0.07,0.07,7757.4,0
PR02,0.07,0.07,7797.3,0
PX06,0.15,0.15,6889.5,0
PX07,0.13,0.13,5974.8,1
PX08,0.13,0.13,5941.0,0
PX09,0.13,0.13,5895.5,0
PX10,0.07,0.07,3138.8,0
PX11,0.07,0.07,3098.2,0
PX12,0.07,0.07,3108.0,0
PX01,0.07,0.07,3039.4,0
PX02,0.07,0.07,3055.5,0
PX03,0.07,0.07,2982.0,0
RM07,0.07,0.07,1542.8,0
RM08,0.07,0.07,1631.0,0
RM09,0.07,0.07,1633.1,1
RM11,0.07,0.07,1577.8,0
RM01,0.07,0.07,1593.9,0
RM03,0.07,0.07,1592.5,0
RS07,0.2,0.2,11566.0,0
RS08,0.2,0.2,11330.0,0
RS09,0.2,0.2,11490.0,1
RS11,0.2,0.2,11178.0,0
SA06,0.1,0.1,2268.0,0
SA07,0.09,0.09,2064.6,0
SA08,0.09,0.09,2116.8,0
SA09,0.09,0.09,2127.6,1
SA10,0.09,0.09,2163.6,0
SA11,0.09,0.09,2170.8,0
SA12,0.09,0.09,2223.0,0
SA01,0.09,0.09,2228.4,0
SA02,0.09,0.09,2273.4,0
SA03,0.09,0.09,2277.0,0
SF06,0.1,0.1,2915.0,0
SF07,0.08,0.08,2353.6,1
SF08,0.08,0.08,2335.2,0
SF09,0.08,0.08,2333.6,0
SF10,0.08,0.08,2322.4,0
SF11,0.08,0.08,2374.4,0
SF12,0.08,0.08,2352.0,0
SF01,0.08,0.08,2352.0,0
SF02,0.08,0.08,2331.2,0
SF03,0.08,0.08,2381.6,0
SH06,0.12,0.12,7063.2,0
SH07,0.12,0.12,7272.0,1
SH08,0.08,0.08,5188.8,0
SH09,0.08,0.08,5349.6,0
SH10,0.08,0.08,5544.0,0
SH11,0.08,0.08,5582.4,0
SH12,0.08,0.08,5678.4,0
SH01,0.08,0.08,5673.6,0
SH02,0.08,0.08,5757.6,0
SH03,0.08,0.08,5779.2,0
SM06,0.1,0.1,2939.0,0
SM07,0.08,0.08,2363.2,1
SM08,0.08,0.08,2372.8,0
SM09,0.08,0.08,2381.6,0
SM10,0.08,0.08,2384.0,0
SM11,0.08,0.08,2404.0,0
SM12,0.08,0.08,2409.6,0
SM01,0.08,0.08,2416.8,0
SM02,0.08,0.08,2422.4,0
SM03,0.08,0.08,2432.8,0
SR07,0.06,0.06,3198.0,0
SR09,0.06,0.06,3217.8,1
SR11,0.06,0.06,3239.4,0
SR01,0.06,0.06,3322.8,0
SR03,0.06,0.06,3326.4,0
TA06,0.13,0.13,4222.4,0
TA07,0.13,0.13,4232.8,0
TA08,0.13,0.13,4199.0,0
TA09,0.13,0.13,4147.0,1
TA10,0.07,0.07,2207.1,0
TA11,0.07,0.07,2181.2,0
TA12,0.07,0.07,2157.4,0
TA01,0.07,0.07,2139.9,0
TA02,0.07,0.07,2118.2,0
TA03,0.07,0.07,2105.6,0
UR06,0.1,0.1,3484.0,0
UR07,0.08,0.08,2918.4,0
UR08,0.08,0.08,2924.8,0
UR09,0.08,0.08,2928.0,1
UR10,0.08,0.08,2918.4,0
UR11,0.08,0.08,2948.8,0
UR12,0.08,0.08,2945.6,0
UR01,0.08,0.08,2936.0,0
UR02,0.08,0.08,2932.8,0
UR03,0.08,0.08,3017.6,0
a2607,0.07,0.07,3325.7,1
a2609,0.07,0.07,3346.0,0
a2611,0.07,0.07,3362.1,0
a2701,0.07,0.07,3373.3,0
a2703,0.07,0.07,3381.0,0
b2606,0.07,0.07,2516.5,0
b2607,0.07,0.07,2522.1,1
b2608,0.07,0.07,2569.0,0
b2609,0.07,0.07,2615.2,0
b2610,0.07,0.07,2641.8,0
b2611,0.07,0.07,2643.9,0
b2612,0.07,0.07,2660.0,0
b2701,0.07,0.07,2659.3,0
b2702,0.07,0.07,2651.6,0
b2703,0.07,0.07,2623.6,0
bb2607,0.15,0.15,11025.0,0
bb2609,0.15,0.15,11095.5,0
bb2611,0.15,0.15,11103.8,1
bb2701,0.15,0.15,11062.5,0
bb2703,0.15,0.15,11553.8,0
bz2605,0.2,0.2,49440.0,0
bz2606,0.14,0.14,34834.8,1
bz2607,0.14,0.14,34234.2,0
bz2608,0.14,0.14,33516.0,0
bz2609,0.14,0.14,32802.0,0
bz2610,0.08,0.08,18422.4,0
bz2611,0.08,0.08,18134.4,0
bz2612,0.08,0.08,17608.8,0
bz2701,0.08,0.08,17522.4,0
bz2702,0.08,0.08,17412.0,0
c2607,0.07,0.07,1626.8,1
c2609,0.07,0.07,1638.0,0
c2611,0.07,0.07,1612.8,0
c2701,0.07,0.07,1619.8,0
c2703,0.07,0.07,1625.4,0
cs2607,0.06,0.06,1588.8,1
cs2609,0.06,0.06,1600.2,0
cs2611,0.06,0.06,1575.6,0
cs2701,0.06,0.06,1588.8,0
cs2703,0.06,0.06,1587.6,0
eb2605,0.2,0.2,9421.0,0
eb2606,0.13,0.13,6175.0,0
eb2607,0.13,0.13,6102.2,1
eb2608,0.13,0.13,5996.2,0
eb2609,0.13,0.13,5895.5,0
eb2610,0.07,0.07,3125.2,0
eb2611,0.07,0.07,3077.2,0
eb2612,0.07,0.07,3051.0,0
eb2701,0.07,0.07,3019.1,0
eb2702,0.07,0.07,3003.7,0
eg2605,0.2,0.2,9816.0,0
eg2606,0.13,0.13,6108.7,0
eg2607,0.13,0.13,6147.7,0
eg2608,0.13,0.13,6134.7,0
eg2609,0.13,0.13,6095.7,1
eg2610,0.07,0.07,3262.0,0
eg2611,0.07,0.07,3248.0,0
eg2612,0.07,0.07,3203.9,0
eg2701,0.07,0.07,3201.1,0
eg2702,0.07,0.07,3157.0,0
fb2606,0.1,0.1,1284.5,1
fb2607,0.1,0.1,1294.5,0
fb2608,0.1,0.1,1294.0,0
fb2609,0.1,0.1,1295.0,0
fb2610,0.1,0.1,1291.5,0
fb2611,0.1,0.1,1293.5,0
fb2612,0.1,0.1,1278.0,0
fb2701,0.1,0.1,1283.5,0
fb2702,0.1,0.1,1288.0,0
i2606,0.11,0.11,8910.0,0
i2607,0.11,0.11,8827.5,0
i2608,0.11,0.11,8745.0,0
i2609,0.11,0.11,8684.5,1
i2610,0.11,0.11,8624.0,0
i2611,0.11,0.11,8569.0,0
i2612,0.11,0.11,8525.0,0
i2701,0.11,0.11,8475.5,0
i2702,0.11,0.11,8442.5,0
i2703,0.11,0.11,8404.0,0
j2606,0.2,0.2,32940.0,0
j2607,0.2,0.2,33590.0,0
j2608,0.2,0.2,34810.0,0
j2609,0.2,0.2,35100.0,1
j2610,0.2,0.2,36010.0,0
j2611,0.2,0.2,36990.0,0
j2612,0.2,0.2,37040.0,0
j2701,0.2,0.2,37080.0,0
j2702,0.2,0.2,38180.0,0
j2703,0.2,0.2,38320.0,0
jd2605,0.2,0.2,7736.0,0
jd2606,0.07,0.07,2643.2,0
jd2607,0.07,0.07,2768.5,1
jd2608,0.07,0.07,3138.8,0
jd2609,0.07,0.07,2888.2,0
jd2610,0.07,0.07,2721.6,0
jd2611,0.07,0.07,2704.8,0
jd2612,0.07,0.07,2688.7,0
jd2701,0.07,0.07,2512.3,0
jd2702,0.07,0.07,2247.0,0
jm2606,0.13,0.13,8427.9,0
