contract,longMarginRate,shortMarginRate,margin,isMainContract
cu2611,0.12,0.12,63804.0,0
cu2612,0.12,0.12,63792.0,0
cu2701,0.12,0.12,63792.0,0
cu2702,0.12,0.12,63780.0,0
cu2703,0.09,0.09,47817.0,0
cu2704,0.09,0.09,47835.0,0
cu2705,0.09,0.09,47803.5,0
fu2607,0.19,0.19,8094.0,0
fu2608,0.19,0.19,7791.9,0
fu2609,0.19,0.19,7512.6,1
fu2610,0.19,0.19,7318.8,0
fu2611,0.19,0.19,7163.0,0
fu2612,0.19,0.19,7045.2,0
fu2701,0.19,0.19,6906.5,0
fu2702,0.19,0.19,6824.8,0
fu2703,0.19,0.19,6762.1,0
fu2704,0.19,0.19,6701.3,0
fu2705,0.19,0.19,6638.6,0
fu2706,0.19,0.19,6593.0,0
hc2606,0.15,0.15,5025.0,0
hc2607,0.1,0.1,3372.0,0
hc2608,0.07,0.07,2364.6,0
hc2609,0.07,0.07,2364.6,0
hc2610,0.07,0.07,2370.2,1
hc2611,0.07,0.07,2374.4,0
hc2612,0.07,0.07,2388.4,0
hc2701,0.07,0.07,2378.6,0
hc2702,0.07,0.07,2389.1,0
hc2703,0.07,0.07,2382.8,0
hc2704,0.07,0.07,2391.2,0
hc2705,0.07,0.07,2385.6,0
ni2606,0.15,0.15,21363.0,0
ni2607,0.14,0.14,20029.8,1
ni2608,0.14,0.14,20101.2,0
ni2609,0.14,0.14,20174.0,0
ni2610,0.14,0.14,20237.0,0
ni2611,0.14,0.14,20301.4,0
ni2612,0.14,0.14,20356.0,0
ni2701,0.14,0.14,20403.6,0
ni2702,0.14,0.14,20441.4,0
ni2703,0.14,0.14,20503.0,0
ni2704,0.1,0.1,14680.0,0
ni2705,0.1,0.1,14716.0,0
op2606,0.15,0.15,23832.0,0
op2607,0.1,0.1,15992.0,0
op2608,0.09,0.09,14385.6,1
op2609,0.09,0.09,14436.0,0
op2610,0.09,0.09,14544.0,0
op2611,0.09,0.09,14673.6,0
op2612,0.09,0.09,14803.2,0
op2701,0.09,0.09,14875.2,0
op2702,0.09,0.09,14846.4,0
op2703,0.09,0.09,14911.2,0
pb2606,0.15,0.15,12423.8,0
pb2607,0.12,0.12,9981.0,1
pb2608,0.12,0.12,10002.0,0
pb2609,0.12,0.12,10035.0,0
pb2610,0.12,0.12,10053.0,0
pb2611,0.12,0.12,10059.0,0
pb2612,0.12,0.12,10074.0,0
pb2701,0.12,0.12,10083.0,0
pb2702,0.12,0.12,10137.0,0
pb2703,0.09,0.09,7609.5,0
pb2704,0.09,0.09,7575.7,0
pb2705,0.09,0.09,7607.2,0
rb2606,0.15,0.15,4638.0,0
rb2607,0.1,0.1,3196.0,0
rb2608,0.07,0.07,2223.9,0
rb2609,0.07,0.07,2209.9,0
rb2610,0.07,0.07,2218.3,1
rb2611,0.07,0.07,2228.8,0
rb2612,0.07,0.07,2245.6,0
rb2701,0.07,0.07,2242.1,0
rb2702,0.07,0.07,2251.9,0
rb2703,0.07,0.07,2251.2,0
rb2704,0.07,0.07,2250.5,0
rb2705,0.07,0.07,2247.0,0
ru2606,0.15,0.15,27000.0,0
ru2607,0.11,0.11,19910.0,0
ru2608,0.11,0.11,19948.5,0
ru2609,0.11,0.11,19981.5,1
ru2610,0.11,0.11,19987.0,0
ru2611,0.11,0.11,20020.0,0
ru2701,0.11,0.11,20806.5,0
ru2703,0.11,0.11,20779.0,0
ru2704,0.09,0.09,17082.0,0
ru2705,0.09,0.09,17082.0,0
sn2606,0.15,0.15,66582.0,0
sn2607,0.14,0.14,62367.2,1
sn2608,0.14,0.14,62479.2,0
sn2609,0.14,0.14,62510.0,0
sn2610,0.14,0.14,62501.6,0
sn2611,0.14,0.14,62526.8,0
sn2612,0.14,0.14,62428.8,0
sn2701,0.14,0.14,62505.8,0
sn2702,0.14,0.14,62540.8,0
sn2703,0.14,0.14,62468.0,0
sn2704,0.13,0.13,58030.7,0
sn2705,0.13,0.13,57795.4,0
sp2606,0.15,0.15,7191.0,0
sp2607,0.1,0.1,4826.0,0
sp2608,0.09,0.09,4375.8,0
sp2609,0.09,0.09,4374.0,1
sp2610,0.09,0.09,4392.0,0
sp2611,0.09,0.09,4374.0,0
sp2612,0.09,0.09,4384.8,0
sp2701,0.09,0.09,4588.2,0
sp2702,0.09,0.09,4604.4,0
sp2703,0.09,0.09,4604.4,0
sp2704,0.07,0.07,3598.0,0
sp2705,0.07,0.07,3605.0,0
ss2606,0.15,0.15,11197.5,0
ss2607,0.1,0.1,7512.5,1
ss2608,0.08,0.08,6050.0,0
ss2609,0.08,0.08,6066.0,0
ss2610,0.08,0.08,6074.0,0
ss2611,0.08,0.08,6090.0,0
ss2612,0.08,0.08,6102.0,0
ss2701,0.08,0.08,6084.0,0
ss2702,0.08,0.08,6130.0,0
ss2703,0.07,0.07,5351.5,0
ss2704,0.07,0.07,5360.3,0
ss2705,0.07,0.07,5384.8,0
wr2606,0.15,0.15,5212.5,0
wr2607,0.1,0.1,3361.0,1
wr2608,0.1,0.1,3417.0,0
wr2609,0.1,0.1,3385.0,0
wr2610,0.1,0.1,3410.0,0
wr2611,0.1,0.1,3410.0,0
wr2612,0.1,0.1,3410.0,0
wr2701,0.1,0.1,3420.0,0
wr2702,0.1,0.1,3421.0,0
wr2703,0.09,0.09,3077.1,0
zn2606,0.15,0.15,18787.5,0
zn2607,0.12,0.12,15090.0,1
zn2608,0.12,0.12,15129.0,0
zn2609,0.12,0.12,15147.0,0
zn2610,0.12,0.12,15147.0,0
zn2611,0.12,0.12,15135.0,0
zn2612,0.12,0.12,15135.0,0
zn2701,0.12,0.12,15126.0,0
zn2702,0.12,0.12,15114.0,0
zn2703,0.09,0.09,11360.2,0
zn2704,0.09,0.09,11328.8,0
zn2705,0.09,0.09,11331.0,0
AP610,0.09,0.09,6930.9,1
AP611,0.09,0.09,6866.1,0
AP612,0.09,0.09,6940.8,0
AP701,0.09,0.09,7048.8,0
AP703,0.09,0.09,7067.7,0
AP704,0.09,0.09,7128.9,0
AP705,0.09,0.09,7156.8,0
CF607,0.07,0.07,5656.0,0
CF609,0.07,0.07,5724.3,1
CF611,0.07,0.07,5804.8,0
CF701,0.07,0.07,5869.5,0
CF703,0.07,0.07,5810.0,0
CF705,0.07,0.07,5794.3,0
CJ607,0.1,0.1,4597.5,0
CJ609,0.08,0.08,3776.0,1
CJ612,0.08,0.08,4006.0,0
CJ701,0.08,0.08,4058.0,0
CJ703,0.08,0.08,4064.0,0
CJ705,0.08,0.08,4122.0,0
CY606,0.2,0.2,22620.0,0
CY607,0.05,0.05,5657.5,0
CY608,0.05,0.05,5663.8,0
CY609,0.05,0.05,5667.5,1
CY610,0.05,0.05,5761.2,0
CY611,0.05,0.05,5722.5,0
CY612,0.05,0.05,5786.2,0
CY701,0.05,0.05,5732.5,0
CY703,0.05,0.05,5812.5,0
CY704,0.05,0.05,5668.8,0
CY705,0.05,0.05,5745.0,0
FG606,0.2,0.2,3768.0,0
FG607,0.1,0.1,1920.0,0
FG608,0.1,0.1,2098.0,0
FG609,0.1,0.1,2098.0,1
FG610,0.1,0.1,2192.0,0
FG611,0.1,0.1,2182.0,0
FG612,0.1,0.1,2298.0,0
FG701,0.1,0.1,2284.0,0
FG702,0.1,0.1,2348.0,0
FG703,0.1,0.1,2342.0,0
FG704,0.1,0.1,2420.0,0
FG705,0.1,0.1,2416.0,0
MA606,0.2,0.2,6216.0,0
MA607,0.13,0.13,3979.3,0
MA608,0.13,0.13,3884.4,0
MA609,0.13,0.13,3803.8,1
MA610,0.07,0.07,1989.4,0
MA611,0.07,0.07,1957.9,0
MA612,0.07,0.07,1957.9,0
MA701,0.07,0.07,1952.3,0
MA702,0.07,0.07,1928.5,0
MA703,0.07,0.07,1905.4,0
MA704,0.07,0.07,1897.0,0
MA705,0.07,0.07,1887.9,0
OI607,0.07,0.07,7277.2,0
OI609,0.07,0.07,7247.1,1
OI611,0.07,0.07,7242.2,0
OI701,0.07,0.07,7193.9,0
OI703,0.07,0.07,7105.0,0
OI705,0.07,0.07,7056.0,0
PF606,0.2,0.2,7724.0,0
PF607,0.13,0.13,5086.9,0
PF608,0.13,0.13,5071.3,1
PF609,0.13,0.13,5045.3,0
PF610,0.07,0.07,2720.9,0
PF611,0.07,0.07,2701.3,0
PF612,0.07,0.07,2678.9,0
PF701,0.07,0.07,2663.5,0
PF702,0.07,0.07,2653.7,0
PF703,0.07,0.07,2625.7,0
PF704,0.07,0.07,2615.9,0
PF705,0.07,0.07,2629.2,0
PK610,0.07,0.07,2867.9,1
PK611,0.07,0.07,2842.0,0
PK612,0.07,0.07,2852.5,0
PK701,0.07,0.07,2878.4,0
PK703,0.07,0.07,2877.0,0
PK704,0.07,0.07,2873.5,0
PK705,0.07,0.07,2886.8,0
PL606,0.2,0.2,35800.0,0
PL607,0.11,0.11,19280.8,0
PL608,0.11,0.11,18821.0,0
PL609,0.11,0.11,18493.2,1
PL610,0.07,0.07,11482.8,0
PL611,0.07,0.07,11137.0,0
PL612,0.07,0.07,10998.4,0
PL701,0.07,0.07,10630.2,0
PL702,0.07,0.07,10717.0,0
PL703,0.07,0.07,10424.4,0
PL704,0.07,0.07,10305.4,0
PR606,0.2,0.2,25080.0,0
PR607,0.13,0.13,15681.9,0
PR608,0.13,0.13,15327.0,0
PR609,0.13,0.13,15132.0,1
PR610,0.07,0.07,8093.4,0
PR611,0.07,0.07,7988.4,0
PR612,0.07,0.07,7795.2,0
PR701,0.07,0.07,7658.7,0
PR702,0.07,0.07,7572.6,0
PR703,0.07,0.07,7612.5,0
PR704,0.07,0.07,7608.3,0
PR705,0.07,0.07,7593.6,0
PX606,0.2,0.2,8888.0,0
PX607,0.13,0.13,5824.0,0
PX608,0.13,0.13,5804.5,0
PX609,0.13,0.13,5772.0,0
PX610,0.07,0.07,3077.9,1
PX611,0.07,0.07,3045.0,0
PX612,0.07,0.07,3008.6,0
PX701,0.07,0.07,2975.7,0
PX702,0.07,0.07,2952.6,0
PX703,0.07,0.07,2940.7,0
PX704,0.07,0.07,2940.7,0
PX705,0.07,0.07,2918.3,0
RM607,0.07,0.07,1531.6,0
RM608,0.07,0.07,1614.9,0
RM609,0.07,0.07,1617.0,1
RM611,0.07,0.07,1556.8,0
RM701,0.07,0.07,1577.8,0
RM703,0.07,0.07,1575.7,0
RM705,0.07,0.07,1599.5,0
RS607,0.2,0.2,11378.0,0
RS608,0.2,0.2,11252.0,0
RS609,0.2,0.2,11730.0,1
RS611,0.2,0.2,11756.0,0
SA606,0.2,0.2,4568.0,0
SA607,0.09,0.09,2077.2,0
SA608,0.09,0.09,2145.6,0
SA609,0.09,0.09,2160.0,1
SA610,0.09,0.09,2205.0,0
SA611,0.09,0.09,2219.4,0
SA612,0.09,0.09,2260.8,0
SA701,0.09,0.09,2266.2,0
SA702,0.09,0.09,2304.0,0
SA703,0.09,0.09,2304.0,0
SA704,0.09,0.09,2338.2,0
SA705,0.09,0.09,2341.8,0
SF606,0.2,0.2,5764.0,0
SF607,0.08,0.08,2384.8,1
SF608,0.08,0.08,2360.8,0
SF609,0.08,0.08,2362.4,0
SF610,0.08,0.08,2348.8,0
SF611,0.08,0.08,2400.8,0
SF612,0.08,0.08,2392.0,0
SF701,0.08,0.08,2391.2,0
SF702,0.08,0.08,2376.8,0
SF703,0.08,0.08,2420.8,0
SF704,0.08,0.08,2396.8,0
SF705,0.08,0.08,2392.0,0
SH606,0.2,0.2,11400.0,0
SH607,0.12,0.12,7030.8,1
SH608,0.08,0.08,4874.4,0
SH609,0.08,0.08,4975.2,0
SH610,0.08,0.08,5172.0,0
SH611,0.08,0.08,5222.4,0
SH612,0.08,0.08,5330.4,0
SH701,0.08,0.08,5328.0,0
SH702,0.08,0.08,5464.8,0
SH703,0.08,0.08,5532.0,0
SH704,0.08,0.08,5644.8,0
SH705,0.08,0.08,5666.4,0
SM606,0.2,0.2,5976.0,0
SM607,0.08,0.08,2417.6,0
SM608,0.08,0.08,2424.8,0
SM609,0.08,0.08,2430.4,1
SM610,0.08,0.08,2432.8,0
SM611,0.08,0.08,2453.6,0
SM612,0.08,0.08,2452.0,0
SM701,0.08,0.08,2462.4,0
SM702,0.08,0.08,2467.2,0
SM703,0.08,0.08,2472.8,0
SM704,0.08,0.08,2472.0,0
SM705,0.08,0.08,2473.6,0
SR607,0.06,0.06,3236.4,0
SR609,0.06,0.06,3262.8,1
SR611,0.06,0.06,3286.8,0
SR701,0.06,0.06,3371.4,0
SR703,0.06,0.06,3382.8,0
SR705,0.06,0.06,3401.4,0
TA606,0.2,0.2,6486.0,0
TA607,0.13,0.13,4218.5,0
TA608,0.13,0.13,4170.4,0
TA609,0.13,0.13,4118.4,1
TA610,0.07,0.07,2186.8,0
TA611,0.07,0.07,2155.3,0
TA612,0.07,0.07,2130.8,0
TA701,0.07,0.07,2109.8,0
TA702,0.07,0.07,2095.1,0
TA703,0.07,0.07,2088.8,0
TA704,0.07,0.07,2079.7,0
TA705,0.07,0.07,2077.6,0
UR606,0.2,0.2,6860.0,0
UR607,0.08,0.08,2881.6,0
UR608,0.08,0.08,2888.0,0
UR609,0.08,0.08,2888.0,1
UR610,0.08,0.08,2870.4,0
UR611,0.08,0.08,2915.2,0
UR612,0.08,0.08,2913.6,0
UR701,0.08,0.08,2908.8,0
UR702,0.08,0.08,2910.4,0
UR703,0.08,0.08,3008.0,0
UR704,0.08,0.08,2979.2,0
UR705,0.08,0.08,2974.4,0
a2607,0.07,0.07,3335.5,1
a2609,0.07,0.07,3359.3,0
a2611,0.07,0.07,3381.0,0
a2701,0.07,0.07,3394.3,0
a2703,0.07,0.07,3402.7,0
a2705,0.07,0.07,3444.7,0
b2606,0.2,0.2,7080.0,0
b2607,0.07,0.07,2510.9,1
b2608,0.07,0.07,2565.5,0
b2609,0.07,0.07,2612.4,0
b2610,0.07,0.07,2635.5,0
b2611,0.07,0.07,2636.2,0
b2612,0.07,0.07,2655.1,0
b2701,0.07,0.07,2656.5,0
b2702,0.07,0.07,2639.0,0
b2703,0.07,0.07,2605.4,0
b2704,0.07,0.07,2545.2,0
b2705,0.07,0.07,2496.2,0
bb2607,0.15,0.15,11088.8,0
bb2609,0.15,0.15,10957.5,0
bb2611,0.15,0.15,11085.0,0
bb2701,0.15,0.15,11032.5,0
bb2703,0.15,0.15,11043.8,1
bz2606,0.2,0.2,45840.0,0
bz2607,0.14,0.14,32281.2,1
bz2608,0.14,0.14,31508.4,0
bz2609,0.14,0.14,30832.2,0
bz2610,0.08,0.08,17316.0,0
bz2611,0.08,0.08,17023.2,0
bz2612,0.08,0.08,16749.6,0
bz2701,0.08,0.08,16761.6,0
bz2702,0.08,0.08,16447.2,0
bz2703,0.08,0.08,16968.0,0
bz2704,0.08,0.08,16802.4,0
c2607,0.07,0.07,1614.9,1
c2609,0.07,0.07,1627.5,0
c2611,0.07,0.07,1598.8,0
c2701,0.07,0.07,1600.9,0
c2703,0.07,0.07,1605.8,0
c2705,0.07,0.07,1621.2,0
cs2607,0.06,0.06,1601.4,1
cs2609,0.06,0.06,1612.2,0
cs2611,0.06,0.06,1585.2,0
cs2701,0.06,0.06,1593.0,0
cs2703,0.06,0.06,1591.8,0
cs2705,0.06,0.06,1606.2,0
eb2606,0.2,0.2,8730.0,0
eb2607,0.13,0.13,5759.0,1
eb2608,0.13,0.13,5666.7,0
eb2609,0.13,0.13,5582.8,0
eb2610,0.07,0.07,2960.7,0
eb2611,0.07,0.07,2919.7,0
eb2612,0.07,0.07,2904.0,0
eb2701,0.07,0.07,2880.9,0
eb2702,0.07,0.07,2873.9,0
eb2703,0.07,0.07,2872.4,0
eb2704,0.07,0.07,2832.2,0
eb2705,0.07,0.07,2859.9,0
eg2606,0.2,0.2,9120.0,0
eg2607,0.13,0.13,5930.6,0
eg2608,0.13,0.13,5922.8,0
eg2609,0.13,0.13,5887.7,1
eg2610,0.07,0.07,3147.9,0
eg2611,0.07,0.07,3119.2,0
eg2612,0.07,0.07,3087.7,0
eg2701,0.07,0.07,3089.8,0
eg2702,0.07,0.07,3067.4,0
eg2703,0.07,0.07,3070.2,0
eg2704,0.07,0.07,3075.1,0
eg2705,0.07,0.07,3071.6,0
fb2606,0.2,0.2,3291.0,0
fb2607,0.1,0.1,1284.0,0
fb2608,0.1,0.1,1284.5,1
fb2609,0.1,0.1,1283.5,0
fb2610,0.1,0.1,1284.5,0
fb2611,0.1,0.1,1284.5,0
fb2612,0.1,0.1,1285.0,0
fb2701,0.1,0.1,1292.5,0
fb2702,0.1,0.1,1289.5,0
fb2703,0.1,0.1,1289.5,0
fb2704,0.1,0.1,1290.0,0
i2606,0.2,0.2,15900.0,0
i2607,0.11,0.11,8712.0,0
i2608,0.11,0.11,8646.0,0
i2609,0.11,0.11,8580.0,1
i2610,0.11,0.11,8536.0,0
i2611,0.11,0.11,8492.0,0
i2612,0.11,0.11,8442.5,0
i2701,0.11,0.11,8393.0,0
i2702,0.11,0.11,8354.5,0
i2703,0.11,0.11,8321.5,0
i2704,0.11,0.11,8299.5,0
i2705,0.11,0.11,8250.0,0
j2606,0.2,0.2,37280.0,0
j2607,0.2,0.2,38790.0,0
j2608,0.2,0.2,39390.0,0
j2609,0.2,0.2,40000.0,1
j2610,0.2,0.2,40130.0,0
j2611,0.2,0.2,40560.0,0
j2612,0.2,0.2,40380.0,0
j2701,0.2,0.2,41310.0,0
j2702,0.2,0.2,41610.0,0
j2703,0.2,0.2,41220.0,0
j2704,0.2,0.2,41120.0,0
j2705,0.2,0.2,42080.0,0
jd2606,0.2,0.2,8860.0,0
jd2607,0.07,0.07,3080.7,1
jd2608,0.07,0.07,3308.9,0
jd2609,0.07,0.07,3016.3,0
jd2610,0.07,0.07,2786.0,0
jd2611,0.07,0.07,2731.4,0
jd2612,0.07,0.07,2702.7,0
jd2701,0.07,0.07,2552.9,0
jd2702,0.07,0.07,2296.0,0
jd2703,0.07,0.07,2300.2,0
jd2704,0.07,0.07,2331.7,0
jd2705,0.07,0.07,2331.0,0
jm2606,0.2,0.2,14040.0,0
jm2607,0.12,0.12,9237.6,0
jm2608,0.12,0.12,9637.2,0
jm2609,0.12,0.12,9946.8,1
jm2610,0.12,0.12,10051.2,0
jm2611,0.12,0.12,10180.8,0
jm2612,0.12,0.12,10256.4,0
jm2701,0.12,0.12,11538.0,0
jm2702,0.12,0.12,11523.6,0
jm2703,0.12,0.12,11530.8,0
jm2704,0.12,0.12,11667.6,0
jm2705,0.12,0.12,11790.0,0
l2606,0.2,0.2,8050.0,0
l2607,0.11,0.11,4459.4,0
l2608,0.11,0.11,4439.1,0
l2609,0.11,0.11,4402.8,1
l2610,0.07,0.07,2779.0,0
l2611,0.07,0.07,2760.1,0
l2612,0.07,0.07,2740.2,0
l2701,0.07,0.07,2737.7,0
l2702,0.07,0.07,2727.2,0
l2703,0.07,0.07,2716.0,0
l2704,0.07,0.07,2703.1,0
l2705,0.07,0.07,2699.9,0
lg2607,0.08,0.08,5742.0,1
lg2609,0.08,0.08,5803.2,0
lg2611,0.08,0.08,5810.4,0
lg2701,0.08,0.08,5850.0,0
lg2703,0.08,0.08,5868.0,0
lg2705,0.08,0.08,5932.8,0
lh2607,0.08,0.08,13523.2,0
lh2609,0.08,0.08,15552.0,1
lh2611,0.08,0.08,16396.8,0
lh2701,0.08,0.08,17260.8,0
lh2703,0.08,0.08,16966.4,0
lh2705,0.08,0.08,17702.4,0
m2607,0.07,0.07,1964.9,0
m2608,0.07,0.07,2072.0,0
m2609,0.07,0.07,2083.2,1
m2611,0.07,0.07,2101.4,0
m2612,0.07,0.07,2133.6,0
m2701,0.07,0.07,2128.0,0
m2703,0.07,0.07,2081.8,0
m2705,0.07,0.07,1955.1,0
p2606,0.2,0.2,18800.0,0
p2607,0.08,0.08,7604.8,0
p2608,0.08,0.08,7702.4,0
p2609,0.08,0.08,7812.8,1
p2610,0.08,0.08,7872.8,0
p2611,0.08,0.08,7922.4,0
p2612,0.08,0.08,7976.0,0
p2701,0.08,0.08,8011.2,0
p2702,0.08,0.08,8012.0,0
p2703,0.08,0.08,8000.0,0
p2704,0.08,0.08,7960.8,0
p2705,0.08,0.08,7977.6,0
pg2606,0.2,0.2,22480.0,0
pg2607,0.16,0.16,18630.4,1
pg2608,0.16,0.16,18172.8,0
pg2609,0.16,0.16,17571.2,0
pg2610,0.11,0.11,12581.8,0
pg2611,0.11,0.11,12289.2,0
pg2612,0.11,0.11,12075.8,0
pg2701,0.11,0.11,11862.4,0
pg2702,0.11,0.11,11699.6,0
pg2703,0.07,0.07,7260.4,0
pg2704,0.07,0.07,7767.2,0
pp2606,0.2,0.2,9650.0,0
pp2607,0.11,0.11,5138.1,0
pp2608,0.11,0.11,4959.9,0
pp2609,0.11,0.11,4837.2,1
pp2610,0.07,0.07,2984.8,0
pp2611,0.07,0.07,2924.2,0
pp2612,0.07,0.07,2874.6,0
pp2701,0.07,0.07,2853.2,0
pp2702,0.07,0.07,2806.3,0
pp2703,0.07,0.07,2791.6,0
pp2704,0.07,0.07,2800.0,0
pp2705,0.07,0.07,2782.5,0
rr2606,0.2,0.2,7320.0,0
rr2607,0.06,0.06,2140.2,1
rr2608,0.06,0.06,2169.6,0
rr2609,0.06,0.06,2153.4,0
rr2610,0.06,0.06,2154.6,0
rr2611,0.06,0.06,2166.0,0
rr2612,0.06,0.06,2167.2,0
rr2701,0.06,0.06,2163.6,0
rr2702,0.06,0.06,2166.6,0
rr2703,0.06,0.06,2167.8,0
rr2704,0.06,0.06,2173.2,0
rr2705,0.06,0.06,2170.2,0
v2606,0.2,0.2,4810.0,0
v2607,0.11,0.11,2666.9,0
v2608,0.11,0.11,2693.3,0
v2609,0.11,0.11,2718.7,1
v2610,0.07,0.07,1743.4,0
v2611,0.07,0.07,1752.8,0
v2612,0.07,0.07,1763.3,0
v2701,0.07,0.07,1775.2,0
v2702,0.07,0.07,1784.7,0
v2703,0.07,0.07,1787.1,0
v2704,0.07,0.07,1851.2,0
v2705,0.07,0.07,1861.7,0
y2607,0.07,0.07,5980.1,0
y2608,0.07,0.07,5999.7,0
y2609,0.07,0.07,6013.0,1
y2611,0.07,0.07,6020.7,0
y2612,0.07,0.07,6029.8,0
y2701,0.07,0.07,6013.0,0
y2703,0.07,0.07,5932.5,0
y2705,0.07,0.07,5824.7,0
lc2606,0.2,0.2,32416.0,0
lc2607,0.15,0.15,24396.0,0
lc2608,0.15,0.15,24975.0,0
lc2609,0.15,0.15,25014.0,1
lc2610,0.15,0.15,25104.0,0
lc2611,0.15,0.15,25125.0,0
lc2612,0.15,0.15,25530.0,0
lc2701,0.15,0.15,25482.0,0
lc2702,0.15,0.15,25515.0,0
lc2703,0.15,0.15,26325.0,0
lc2704,0.15,0.15,25500.0,0
lc2705,0.15,0.15,25707.0,0
pd2606,0.2,0.2,64420.0,0
pd2608,0.19,0.19,61911.5,1
pd2610,0.19,0.19,62738.0,0
pd2612,0.19,0.19,63327.0,0
pd2702,0.19,0.19,64220.0,0
pd2704,0.19,0.19,65996.5,0
ps2606,0.2,0.2,21738.0,0
ps2607,0.13,0.13,14024.4,0
ps2608,0.13,0.13,14160.9,0
ps2609,0.13,0.13,14276.0,1
ps2610,0.13,0.13,14313.0,0
ps2611,0.13,0.13,14432.0,0
ps2612,0.13,0.13,16128.5,0
ps2701,0.13,0.13,16216.2,0
ps2702,0.13,0.13,16692.0,0
ps2703,0.13,0.13,16573.1,0
ps2704,0.13,0.13,15602.0,0
ps2705,0.13,0.13,15455.7,0
pt2606,0.2,0.2,94600.0,0
pt2608,0.19,0.19,90706.0,1
pt2610,0.19,0.19,91200.0,0
pt2612,0.19,0.19,91836.5,0
pt2702,0.19,0.19,93717.5,0
pt2704,0.19,0.19,93565.5,0
si2606,0.2,0.2,8650.0,0
si2607,0.1,0.1,4325.0,0
si2608,0.1,0.1,4355.0,0
si2609,0.1,0.1,4377.5,1
si2610,0.1,0.1,4405.0,0
si2611,0.1,0.1,4410.0,0
si2612,0.1,0.1,4567.5,0
si2701,0.1,0.1,4535.0,0
si2702,0.1,0.1,4485.0,0
si2703,0.1,0.1,4522.5,0
si2704,0.1,0.1,4540.0,0
si2705,0.1,0.1,4545.0,0
bc2606,0.15,0.15,70500.0,0
bc2607,0.12,0.12,56742.0,1
bc2608,0.12,0.12,56700.0,0
