contract,longMarginRate,shortMarginRate,margin,isMainContract
ad2606,0.15,0.15,34477.5,0
ad2607,0.1,0.1,23080.0,0
ad2608,0.1,0.1,23265.0,1
ad2609,0.1,0.1,23350.0,0
ad2610,0.1,0.1,23465.0,0
ad2611,0.1,0.1,23540.0,0
ad2612,0.1,0.1,23760.0,0
ad2701,0.1,0.1,23370.0,0
ad2702,0.1,0.1,23730.0,0
ad2703,0.07,0.07,16740.5,0
ag2606,0.22,0.22,59268.0,0
ag2607,0.22,0.22,59360.4,0
ag2608,0.22,0.22,59426.4,1
ag2609,0.22,0.22,59515.5,0
ag2610,0.22,0.22,59525.4,0
ag2611,0.22,0.22,59565.0,0
ag2612,0.22,0.22,59624.4,0
ag2701,0.22,0.22,59650.8,0
ag2702,0.22,0.22,59736.6,0
ag2703,0.22,0.22,59796.0,0
ag2704,0.22,0.22,59805.9,0
ag2705,0.19,0.19,51798.8,0
al2606,0.15,0.15,18318.8,0
al2607,0.12,0.12,14712.0,1
al2608,0.12,0.12,14754.0,0
al2609,0.12,0.12,14778.0,0
al2610,0.12,0.12,14793.0,0
al2611,0.12,0.12,14784.0,0
al2612,0.12,0.12,14778.0,0
al2701,0.12,0.12,14793.0,0
al2702,0.12,0.12,14796.0,0
al2703,0.09,0.09,11099.2,0
al2704,0.09,0.09,11133.0,0
al2705,0.09,0.09,11142.0,0
ao2606,0.15,0.15,8049.0,0
ao2607,0.12,0.12,6537.6,0
ao2608,0.12,0.12,6652.8,0
ao2609,0.12,0.12,6751.2,1
ao2610,0.12,0.12,6806.4,0
ao2611,0.12,0.12,6856.8,0
ao2612,0.12,0.12,6921.6,0
ao2701,0.12,0.12,7005.6,0
ao2702,0.12,0.12,7046.4,0
ao2703,0.09,0.09,5320.8,0
ao2704,0.09,0.09,5380.2,0
ao2705,0.09,0.09,5405.4,0
au2606,0.19,0.19,185010.6,0
au2607,0.19,0.19,185265.2,0
au2608,0.19,0.19,185645.2,1
au2610,0.19,0.19,186059.4,0
au2612,0.19,0.19,186477.4,0
au2702,0.19,0.19,187020.8,0
au2704,0.19,0.19,187374.2,0
au2706,0.16,0.16,158169.6,0
br2606,0.15,0.15,10882.5,0
br2607,0.14,0.14,10258.5,1
br2608,0.14,0.14,10276.0,0
br2609,0.14,0.14,10283.0,0
br2610,0.14,0.14,10283.0,0
br2611,0.14,0.14,10223.5,0
br2612,0.14,0.14,10241.0,0
br2701,0.14,0.14,10248.0,0
br2702,0.14,0.14,10241.0,0
br2703,0.14,0.14,10251.5,0
br2704,0.14,0.14,10265.5,0
br2705,0.14,0.14,10255.0,0
bu2606,0.15,0.15,6708.0,0
bu2607,0.14,0.14,6239.8,0
bu2608,0.14,0.14,6160.0,0
bu2609,0.14,0.14,6038.2,1
bu2610,0.14,0.14,5905.2,0
bu2611,0.14,0.14,5744.2,0
bu2612,0.14,0.14,5572.0,0
bu2701,0.14,0.14,5397.0,0
bu2702,0.14,0.14,5335.4,0
bu2703,0.14,0.14,5317.2,0
bu2704,0.14,0.14,5265.4,0
bu2705,0.14,0.14,5243.0,0
bu2706,0.14,0.14,5227.6,0
bu2709,0.14,0.14,5170.2,0
bu2712,0.14,0.14,5114.2,0
bu2803,0.14,0.14,5097.4,0
cu2606,0.15,0.15,79710.0,0
cu2607,0.12,0.12,63828.0,1
cu2608,0.12,0.12,63876.0,0
cu2609,0.12,0.12,63846.0,0
cu2610,0.12,0.12,63864.0,0
